tag,patterns,patterns_prep,slang_prep,prep
about_car,tips beli mobil bekas dari showroom,tips beli mobil bekas dari showroom,tips beli mobil bekas dari showroom,"['tips', 'beli', 'mobil', 'bekas', 'showroom']"
about_car,cara cek keaslian odometer mobil second?,cara cek keaslian odometer mobil second,cara cek keaslian odometer mobil second,"['cara', 'cek', 'asli', 'odometer', 'mobil', 'second']"
about_car,tips beli mobil bekas dari perorangan,tips beli mobil bekas dari perorangan,tips beli mobil bekas dari perorangan,"['tips', 'beli', 'mobil', 'bekas', 'orang']"
about_car,cara cek transmisi mobil bekas?,cara cek transmisi mobil bekas,cara cek transmisi mobil bekas,"['cara', 'cek', 'transmisi', 'mobil', 'bekas']"
about_car,pentingnya service record mobil second?,pentingnya service record mobil second,pentingnya service record mobil second,"['penting', 'service', 'record', 'mobil', 'second']"
about_car,cara tau mobil bekas worth it apa nggak?,cara tau mobil bekas worth it apa nggak,cara tahu mobil bekas worth it apa tidak,"['cara', 'tahu', 'mobil', 'bekas', 'worth', 'it', 'apa']"
about_car,tips pilih dealer mobil bekas,tips pilih dealer mobil bekas,tips pilih dealer mobil bekas,"['tips', 'pilih', 'dealer', 'mobil', 'bekas']"
about_car,cara bedain mobil bekas ori sama modif?,cara bedain mobil bekas ori sama modif,cara membedakan mobil bekas orisinal sama modifkasi,"['cara', 'beda', 'mobil', 'bekas', 'orisinal', 'sama', 'modifkasi']"
about_car,tips cek AC mobil second,tips cek AC mobil second,tips cek AC mobil second,"['tips', 'cek', 'ac', 'mobil', 'second']"
about_car,cara tau history mobil bekas?,cara tau history mobil bekas,cara tahu history mobil bekas,"['cara', 'tahu', 'history', 'mobil', 'bekas']"
about_car,saran dong beli mobil second yang bagus,saran dong beli mobil second yang bagus,saran dong beli mobil second yang bagus,"['saran', 'dong', 'beli', 'mobil', 'second', 'bagus']"
about_car,rekomendasi tempat beli mobil bekas yang terpercaya,rekomendasi tempat beli mobil bekas yang terpercaya,rekomendasi tempat beli mobil bekas yang terpercaya,"['rekomendasi', 'tempat', 'beli', 'mobil', 'bekas', 'percaya']"
about_car,bahaya gak sih beli mobil bekas?,bahaya gak sih beli mobil bekas,bahaya tidak memang beli mobil bekas,"['bahaya', 'memang', 'beli', 'mobil', 'bekas']"
about_car,budget 100 juta bisa dapet mobil bekas apa ya?,budget 100 juta bisa dapet mobil bekas apa ya,budget 100 juta bisa dapat mobil bekas apa iya,"['budget', '100', 'juta', 'dapat', 'mobil', 'bekas', 'apa', 'iya']"
about_car,"mau investasi mobil bekas, bagus gak?",mau investasi mobil bekas bagus gak,mau investasi mobil bekas bagus tidak,"['mau', 'investasi', 'mobil', 'bekas', 'bagus']"
about_car,mohon panduan lengkap membeli mobil second,mohon panduan lengkap membeli mobil second,mohon panduan lengkap membeli mobil second,"['mohon', 'pandu', 'lengkap', 'beli', 'mobil', 'second']"
about_car,cara mendeteksi kerusakan mobil bekas,cara mendeteksi kerusakan mobil bekas,cara mendeteksi kerusakan mobil bekas,"['cara', 'deteksi', 'rusa', 'mobil', 'bekas']"
about_car,pertimbangan utama memilih dealer mobil bekas,pertimbangan utama memilih dealer mobil bekas,pertimbangan utama memilih dealer mobil bekas,"['timbang', 'utama', 'pilih', 'dealer', 'mobil', 'bekas']"
about_car,mobil bekas import worth it gak sih?,mobil bekas import worth it gak sih,mobil bekas import worth it tidak memang,"['mobil', 'bekas', 'import', 'worth', 'it', 'memang']"
about_car,bagaimana prosedur balik nama mobil bekas?,bagaimana prosedur balik nama mobil bekas,bagaimana prosedur balik nama mobil bekas,"['bagaimana', 'prosedur', 'balik', 'nama', 'mobil', 'bekas']"
about_car,apakah sebaiknya beli mobil bekas cash atau kredit?,apakah sebaiknya beli mobil bekas cash atau kredit,apakah sebaiknya beli mobil bekas cash atau kredit,"['baik', 'beli', 'mobil', 'bekas', 'cash', 'kredit']"
about_car,mending beli mobil baru cicil atau bekas cash?,mending beli mobil baru cicil atau bekas cash,lebih baik beli mobil baru cicil atau bekas cash,"['lebih', 'baik', 'beli', 'mobil', 'baru', 'cicil', 'bekas', 'cash']"
about_car,mohon arahan untuk survey mobil bekas,mohon arahan untuk survey mobil bekas,mohon arahan untuk survey mobil bekas,"['mohon', 'arah', 'survey', 'mobil', 'bekas']"
about_car,apa risiko membeli mobil bekas?,apa risiko membeli mobil bekas,apa risiko membeli mobil bekas,"['apa', 'risiko', 'beli', 'mobil', 'bekas']"
about_car,butuh saran nih buat beli mobil second,butuh saran nih buat beli mobil second,butuh saran ini buat beli mobil second,"['butuh', 'saran', 'buat', 'beli', 'mobil', 'second']"
about_car,bagaimana mengetahui history kecelakaan mobil bekas?,bagaimana mengetahui history kecelakaan mobil bekas,bagaimana mengetahui history kecelakaan mobil bekas,"['bagaimana', 'tahu', 'history', 'celaka', 'mobil', 'bekas']"
about_car,mobil bekas yang paling laku di pasaran apa?,mobil bekas yang paling laku di pasaran apa,mobil bekas yang paling laku di pasaran apa,"['mobil', 'bekas', 'paling', 'laku', 'pasar', 'apa']"
about_car,rekomendasi mobil second di bawah 50 juta,rekomendasi mobil second di bawah 50 juta,rekomendasi mobil second di bawah 50 juta,"['rekomendasi', 'mobil', 'second', 'bawah', '50', 'juta']"
about_car,cara bedain mobil bekas banjir sama yang normal,cara bedain mobil bekas banjir sama yang normal,cara membedakan mobil bekas banjir sama yang normal,"['cara', 'beda', 'mobil', 'bekas', 'banjir', 'sama', 'normal']"
about_car,gimana cara nego yang tepat buat mobil second?,gimana cara nego yang tepat buat mobil second,bagaimana cara nego yang tepat buat mobil second,"['bagaimana', 'cara', 'nego', 'tepat', 'buat', 'mobil', 'second']"
about_car,tips beli mobil bekas yang aman dan terpercaya,tips beli mobil bekas yang aman dan terpercaya,tips beli mobil bekas yang aman dan terpercaya,"['tips', 'beli', 'mobil', 'bekas', 'aman', 'percaya']"
about_car,apa aja sih yang perlu diperhatikan pas survei mobil?,apa aja sih yang perlu diperhatikan pas survei mobil,apa saja memang yang perlu diperhatikan pas survei mobil,"['apa', 'memang', 'perlu', 'perhati', 'pas', 'survei', 'mobil']"
about_car,dokumen penting apa aja yang harus dicek?,dokumen penting apa aja yang harus dicek,dokumen penting apa saja yang harus dicek,"['dokumen', 'penting', 'apa', 'yang', 'cek']"
about_car,berapa estimasi biaya perawatan mobil bekas?,berapa estimasi biaya perawatan mobil bekas,berapa estimasi biaya perawatan mobil bekas,"['berapa', 'estimasi', 'biaya', 'awat', 'mobil', 'bekas']"
about_car,mobil bekas tahun berapa yang worth it?,mobil bekas tahun berapa yang worth it,mobil bekas tahun berapa yang worth it,"['mobil', 'bekas', 'tahun', 'berapa', 'worth', 'it']"
about_car,merk mobil bekas yang bagus untuk pemula?,merk mobil bekas yang bagus untuk pemula,merk mobil bekas yang bagus untuk pemula,"['merk', 'mobil', 'bekas', 'bagus', 'mula']"
about_car,cara cek keaslian surat-surat mobil second,cara cek keaslian suratsurat mobil second,cara cek keaslian suratsurat mobil second,"['cara', 'cek', 'asli', 'suratsurat', 'mobil', 'second']"
about_car,hal yang harus diwaspadai saat beli mobil bekas,hal yang harus diwaspadai saat beli mobil bekas,hal yang harus diwaspadai saat beli mobil bekas,"['yang', 'waspada', 'beli', 'mobil', 'bekas']"
about_car,butuh rekomendasi mobil second yang bandel,butuh rekomendasi mobil second yang bandel,butuh rekomendasi mobil second yang bandel,"['butuh', 'rekomendasi', 'mobil', 'second', 'bandel']"
about_car,indikator mobil bekas yang masih layak pakai,indikator mobil bekas yang masih layak pakai,indikator mobil bekas yang masih layak pakai,"['indikator', 'mobil', 'bekas', 'masih', 'layak', 'pakai']"
about_car,apa tips membeli mobil bekas yang berkualitas,apa tips membeli mobil bekas yang berkualitas,apa tips membeli mobil bekas yang berkualitas,"['apa', 'tips', 'beli', 'mobil', 'bekas', 'kualitas']"
about_car,ada panduan nggak buat beli mobil bekas?,ada panduan nggak buat beli mobil bekas,ada panduan tidak buat beli mobil bekas,"['pandu', 'buat', 'beli', 'mobil', 'bekas']"
about_car,gimana tips biar nggak ketipu waktu beli mobil bekas?,gimana tips biar nggak ketipu waktu beli mobil bekas,bagaimana tips agar tidak ketipu waktu beli mobil bekas,"['bagaimana', 'tips', 'tidak', 'tipu', 'waktu', 'beli', 'mobil', 'bekas']"
about_car,bisa kasih saran beli mobil second yang bagus?,bisa kasih saran beli mobil second yang bagus,bisa kasih saran beli mobil second yang bagus,"['kasih', 'saran', 'beli', 'mobil', 'second', 'bagus']"
about_car,mohon rekomendasi cara memilih mobil bekas,mohon rekomendasi cara memilih mobil bekas,mohon rekomendasi cara memilih mobil bekas,"['mohon', 'rekomendasi', 'cara', 'pilih', 'mobil', 'bekas']"
about_car,apa aja yang perlu diperhatikan saat beli mobil second?,apa aja yang perlu diperhatikan saat beli mobil second,apa saja yang perlu diperhatikan saat beli mobil second,"['apa', 'yang', 'perlu', 'perhati', 'beli', 'mobil', 'second']"
about_car,butuh saran nih mau beli mobil bekas,butuh saran nih mau beli mobil bekas,butuh saran ini mau beli mobil bekas,"['butuh', 'saran', 'mau', 'beli', 'mobil', 'bekas']"
about_car,tips jitu pilih mobil second dong,tips jitu pilih mobil second dong,tips jitu pilih mobil second dong,"['tips', 'jitu', 'pilih', 'mobil', 'second', 'dong']"
about_car,cara pilih mobil bekas yang tepat gimana?,cara pilih mobil bekas yang tepat gimana,cara pilih mobil bekas yang tepat bagaimana,"['cara', 'pilih', 'mobil', 'bekas', 'tepat', 'bagaimana']"
about_car,panduan lengkap dong buat beli mobil bekas,panduan lengkap dong buat beli mobil bekas,panduan lengkap dong buat beli mobil bekas,"['pandu', 'lengkap', 'dong', 'buat', 'beli', 'mobil', 'bekas']"
about_car,biar gak nyesel beli mobil second gimana ya?,biar gak nyesel beli mobil second gimana ya,agar tidak menyesal beli mobil second bagaimana iya,"['tidak', 'sesal', 'beli', 'mobil', 'second', 'bagaimana', 'iya']"
about_car,tolong kasih tips memilih mobil bekas,tolong kasih tips memilih mobil bekas,tolong kasih tips memilih mobil bekas,"['kasih', 'tips', 'pilih', 'mobil', 'bekas']"
about_car,"mau beli mobil bekas, apa yang harus diperhatikan?",mau beli mobil bekas apa yang harus diperhatikan,mau beli mobil bekas apa yang harus diperhatikan,"['mau', 'beli', 'mobil', 'bekas', 'apa', 'harus', 'perhati']"
about_car,bagaimana cara menilai kondisi mobil second?,bagaimana cara menilai kondisi mobil second,bagaimana cara menilai kondisi mobil second,"['bagaimana', 'cara', 'nilai', 'kondisi', 'mobil', 'second']"
about_car,apa indikator mobil bekas berkualitas?,apa indikator mobil bekas berkualitas,apa indikator mobil bekas berkualitas,"['apa', 'indikator', 'mobil', 'bekas', 'kualitas']"
about_car,mohon petunjuk memilih mobil bekas,mohon petunjuk memilih mobil bekas,mohon petunjuk memilih mobil bekas,"['mohon', 'tunjuk', 'pilih', 'mobil', 'bekas']"
about_car,cara menghindari penipuan saat beli mobil second,cara menghindari penipuan saat beli mobil second,cara menghindari penipuan saat beli mobil second,"['cara', 'hindar', 'tipu', 'beli', 'mobil', 'second']"
about_car,panduan membeli mobil bekas yang aman,panduan membeli mobil bekas yang aman,panduan membeli mobil bekas yang aman,"['pandu', 'beli', 'mobil', 'bekas', 'aman']"
about_car,checklist apa saja untuk beli mobil second?,checklist apa saja untuk beli mobil second,checklist apa saja untuk beli mobil second,"['checklist', 'apa', 'untuk', 'beli', 'mobil', 'second']"
about_car,kriteria mobil bekas yang bagus itu apa?,kriteria mobil bekas yang bagus itu apa,kriteria mobil bekas yang bagus itu apa,"['kriteria', 'mobil', 'bekas', 'bagus', 'apa']"
about_car,tips sukses beli mobil second gimana?,tips sukses beli mobil second gimana,tips sukses beli mobil second bagaimana,"['tips', 'sukses', 'beli', 'mobil', 'second', 'bagaimana']"
about_car,cara mendeteksi kerusakan mobil bekas,cara mendeteksi kerusakan mobil bekas,cara mendeteksi kerusakan mobil bekas,"['cara', 'deteksi', 'rusa', 'mobil', 'bekas']"
about_car,panduan praktis beli mobil second,panduan praktis beli mobil second,panduan praktis beli mobil second,"['pandu', 'praktis', 'beli', 'mobil', 'second']"
about_car,mohon arahan memilih mobil bekas,mohon arahan memilih mobil bekas,mohon arahan memilih mobil bekas,"['mohon', 'arah', 'pilih', 'mobil', 'bekas']"
about_car,strategi beli mobil second yang aman,strategi beli mobil second yang aman,strategi beli mobil second yang aman,"['strategi', 'beli', 'mobil', 'second', 'aman']"
about_car,cara membedakan mobil bekas bagus dan jelek,cara membedakan mobil bekas bagus dan jelek,cara membedakan mobil bekas bagus dan jelek,"['cara', 'beda', 'mobil', 'bekas', 'bagus', 'jelek']"
about_car,tips membeli mobil second yang berkualitas,tips membeli mobil second yang berkualitas,tips membeli mobil second yang berkualitas,"['tips', 'beli', 'mobil', 'second', 'kualitas']"
about_car,panduan lengkap survey mobil bekas,panduan lengkap survey mobil bekas,panduan lengkap survey mobil bekas,"['pandu', 'lengkap', 'survey', 'mobil', 'bekas']"
about_car,apa yang wajib dicek saat beli mobil second?,apa yang wajib dicek saat beli mobil second,apa yang wajib dicek saat beli mobil second,"['apa', 'wajib', 'cek', 'beli', 'mobil', 'second']"
about_car,cara menilai kelayakan mobil bekas,cara menilai kelayakan mobil bekas,cara menilai kelayakan mobil bekas,"['cara', 'nilai', 'layak', 'mobil', 'bekas']"
about_car,tips aman beli mobil second hand,tips aman beli mobil second hand,tips aman beli mobil second hand,"['tips', 'aman', 'beli', 'mobil', 'second', 'hand']"
about_car,panduan cek fisik mobil bekas,panduan cek fisik mobil bekas,panduan cek fisik mobil bekas,"['pandu', 'cek', 'fisik', 'mobil', 'bekas']"
about_car,cara memastikan kualitas mobil second,cara memastikan kualitas mobil second,cara memastikan kualitas mobil second,"['cara', 'kualitas', 'mobil', 'second']"
about_car,tips memilih dealer mobil bekas,tips memilih dealer mobil bekas,tips memilih dealer mobil bekas,"['tips', 'pilih', 'dealer', 'mobil', 'bekas']"
about_car,langkah-langkah membeli mobil second,langkahlangkah membeli mobil second,langkahlangkah membeli mobil second,"['langkahlangkah', 'beli', 'mobil', 'second']"
about_car,mau cari mobil bekas yang bagus tips nya dong,mau cari mobil bekas yang bagus tips nya dong,mau cari mobil bekas yang bagus tips nya dong,"['mau', 'cari', 'mobil', 'bekas', 'bagus', 'tips', 'nya', 'dong']"
about_car,tolong bantu kasih tips beli mobil bekas,tolong bantu kasih tips beli mobil bekas,tolong bantu kasih tips beli mobil bekas,"['bantu', 'kasih', 'tips', 'beli', 'mobil', 'bekas']"
about_car,beri saya tips untuk membeli mobil second,beri saya tips untuk membeli mobil second,beri saya tips untuk membeli mobil second,"['beri', 'tips', 'beli', 'mobil', 'second']"
about_car,bagaimana tips aman membeli mobil bekas?,bagaimana tips aman membeli mobil bekas,bagaimana tips aman membeli mobil bekas,"['bagaimana', 'tips', 'aman', 'beli', 'mobil', 'bekas']"
about_car,minta saran dong cara pilih mobil bekas,minta saran dong cara pilih mobil bekas,minta saran dong cara pilih mobil bekas,"['minta', 'saran', 'dong', 'cara', 'pilih', 'mobil', 'bekas']"
about_car,mohon tips nya untuk beli mobil second,mohon tips nya untuk beli mobil second,mohon tips nya untuk beli mobil second,"['mohon', 'tips', 'nya', 'beli', 'mobil', 'second']"
about_car,bagaimana cara memilih mobil bekas yang bagus?,bagaimana cara memilih mobil bekas yang bagus,bagaimana cara memilih mobil bekas yang bagus,"['bagaimana', 'cara', 'pilih', 'mobil', 'bekas', 'bagus']"
about_car,kasih tips dong biar ga ketipu beli mobil bekas,kasih tips dong biar ga ketipu beli mobil bekas,kasih tips dong agar tidak ketipu beli mobil bekas,"['kasih', 'tips', 'dong', 'tidak', 'tipu', 'beli', 'mobil', 'bekas']"
about_car,tolong kasih tau cara cek mobil bekas,tolong kasih tau cara cek mobil bekas,tolong kasih tahu cara cek mobil bekas,"['kasih', 'tahu', 'cara', 'cek', 'mobil', 'bekas']"
about_car,apa aja yang perlu diperhatiin pas beli mobil bekas?,apa aja yang perlu diperhatiin pas beli mobil bekas,apa saja yang perlu diperhatiin pas beli mobil bekas,"['apa', 'yang', 'perlu', 'diperhatiin', 'pas', 'beli', 'mobil', 'bekas']"
about_car,bisa minta tips untuk beli mobil bekas?,bisa minta tips untuk beli mobil bekas,bisa minta tips untuk beli mobil bekas,"['minta', 'tips', 'beli', 'mobil', 'bekas']"
about_car,gimana caranya pilih mobil second yang oke?,gimana caranya pilih mobil second yang oke,bagaimana caranya pilih mobil second yang oke,"['bagaimana', 'cara', 'pilih', 'mobil', 'second', 'oke']"
about_car,saya butuh saran untuk membeli mobil bekas,saya butuh saran untuk membeli mobil bekas,saya butuh saran untuk membeli mobil bekas,"['butuh', 'saran', 'beli', 'mobil', 'bekas']"
about_car,tolong berikan tips membeli mobil second yang aman,tolong berikan tips membeli mobil second yang aman,tolong berikan tips membeli mobil second yang aman,"['ikan', 'tips', 'beli', 'mobil', 'second', 'aman']"
about_car,cara beli mobil bekas yang aman gimana ya?,cara beli mobil bekas yang aman gimana ya,cara beli mobil bekas yang aman bagaimana iya,"['cara', 'beli', 'mobil', 'bekas', 'aman', 'bagaimana', 'iya']"
about_car,tips beli mobil bekas yang berkualitas dong,tips beli mobil bekas yang berkualitas dong,tips beli mobil bekas yang berkualitas dong,"['tips', 'beli', 'mobil', 'bekas', 'kualitas', 'dong']"
about_car,bagaimana cara menilai mobil bekas yang bagus?,bagaimana cara menilai mobil bekas yang bagus,bagaimana cara menilai mobil bekas yang bagus,"['bagaimana', 'cara', 'nilai', 'mobil', 'bekas', 'bagus']"
about_car,minta rekomendasi cara pilih mobil second,minta rekomendasi cara pilih mobil second,minta rekomendasi cara pilih mobil second,"['minta', 'rekomendasi', 'cara', 'pilih', 'mobil', 'second']"
about_car,bagi tips dong biar ga salah pilih mobil bekas,bagi tips dong biar ga salah pilih mobil bekas,bagi tips dong agar tidak salah pilih mobil bekas,"['tips', 'dong', 'tidak', 'salah', 'pilih', 'mobil', 'bekas']"
about_car,apa yang harus dicek waktu beli mobil bekas?,apa yang harus dicek waktu beli mobil bekas,apa yang harus dicek waktu beli mobil bekas,"['apa', 'harus', 'cek', 'waktu', 'beli', 'mobil', 'bekas']"
about_car,mohon petunjuk cara memilih mobil second,mohon petunjuk cara memilih mobil second,mohon petunjuk cara memilih mobil second,"['mohon', 'tunjuk', 'cara', 'pilih', 'mobil', 'second']"
about_car,gimana sih cara pilih mobil bekas yang tepat?,gimana sih cara pilih mobil bekas yang tepat,bagaimana memang cara pilih mobil bekas yang tepat,"['bagaimana', 'memang', 'cara', 'pilih', 'mobil', 'bekas', 'tepat']"
about_car,bisa kasih tips biar ga zonk beli mobil bekas?,bisa kasih tips biar ga zonk beli mobil bekas,bisa kasih tips agar tidak bodoh beli mobil bekas,"['kasih', 'tips', 'tidak', 'bodoh', 'beli', 'mobil', 'bekas']"
about_car,"carbot, cara menilai kondisi mobil bekas gimana ya?",carbot cara menilai kondisi mobil bekas gimana ya,carbot cara menilai kondisi mobil bekas bagaimana iya,"['carbot', 'cara', 'nilai', 'kondisi', 'mobil', 'bekas', 'bagaimana', 'iya']"
about_car,"carbot, tolong sarankan cara beli mobil second",carbot tolong sarankan cara beli mobil second,carbot tolong sarankan cara beli mobil second,"['carbot', 'saran', 'cara', 'beli', 'mobil', 'second']"
about_car,"carbot, tips jitu beli mobil bekas dong",carbot tips jitu beli mobil bekas dong,carbot tips jitu beli mobil bekas dong,"['carbot', 'tips', 'jitu', 'beli', 'mobil', 'bekas', 'dong']"
about_car,"carbot, bagaimana memilih mobil bekas yang berkualitas?",carbot bagaimana memilih mobil bekas yang berkualitas,carbot bagaimana memilih mobil bekas yang berkualitas,"['carbot', 'bagaimana', 'pilih', 'mobil', 'bekas', 'kualitas']"
about_car,"carbot, kasih tau dong cara pilih mobil second",carbot kasih tau dong cara pilih mobil second,carbot kasih tahu dong cara pilih mobil second,"['carbot', 'kasih', 'tahu', 'dong', 'cara', 'pilih', 'mobil', 'second']"
about_car,"carbot, bisa minta saran beli mobil bekas?",carbot bisa minta saran beli mobil bekas,carbot bisa minta saran beli mobil bekas,"['carbot', 'minta', 'saran', 'beli', 'mobil', 'bekas']"
about_car,"carbot, apa yang perlu diperhatikan saat survey mobil bekas?",carbot apa yang perlu diperhatikan saat survey mobil bekas,carbot apa yang perlu diperhatikan saat survey mobil bekas,"['carbot', 'apa', 'perlu', 'perhati', 'survey', 'mobil', 'bekas']"
about_car,"carbot, bagaimana cara mengecek kondisi mobil second?",carbot bagaimana cara mengecek kondisi mobil second,carbot bagaimana cara mengecek kondisi mobil second,"['carbot', 'bagaimana', 'cara', 'ecek', 'kondisi', 'mobil', 'second']"
about_car,"carbot, mohon arahan untuk membeli mobil bekas",carbot mohon arahan untuk membeli mobil bekas,carbot mohon arahan untuk membeli mobil bekas,"['carbot', 'mohon', 'arah', 'beli', 'mobil', 'bekas']"
about_car,"carbot, tips memilih mobil second yang bagus gimana?",carbot tips memilih mobil second yang bagus gimana,carbot tips memilih mobil second yang bagus bagaimana,"['carbot', 'tips', 'pilih', 'mobil', 'second', 'bagus', 'bagaimana']"
about_car,"carbot, cara survey mobil bekas yang benar bagaimana?",carbot cara survey mobil bekas yang benar bagaimana,carbot cara survey mobil bekas yang benar bagaimana,"['carbot', 'cara', 'survey', 'mobil', 'bekas', 'benar', 'bagaimana']"
about_car,"carbot, bagaimana prosedur membeli mobil second yang aman?",carbot bagaimana prosedur membeli mobil second yang aman,carbot bagaimana prosedur membeli mobil second yang aman,"['carbot', 'bagaimana', 'prosedur', 'beli', 'mobil', 'second', 'aman']"
about_car,"carbot, tolong berikan saran untuk membeli mobil bekas",carbot tolong berikan saran untuk membeli mobil bekas,carbot tolong berikan saran untuk membeli mobil bekas,"['carbot', 'ikan', 'saran', 'beli', 'mobil', 'bekas']"
about_car,"hai carbot, bagaimana tips aman membeli mobil second?",hai carbot bagaimana tips aman membeli mobil second,hai carbot bagaimana tips aman membeli mobil second,"['hai', 'carbot', 'bagaimana', 'tips', 'aman', 'beli', 'mobil', 'second']"
about_car,carbot mohon petunjuk untuk memilih mobil bekas,carbot mohon petunjuk untuk memilih mobil bekas,carbot mohon petunjuk untuk memilih mobil bekas,"['carbot', 'mohon', 'tunjuk', 'pilih', 'mobil', 'bekas']"
about_car,"dear carbot, bisa kasih rekomendasi cara beli mobil bekas?",dear carbot bisa kasih rekomendasi cara beli mobil bekas,dear carbot bisa kasih rekomendasi cara beli mobil bekas,"['dear', 'carbot', 'kasih', 'rekomendasi', 'cara', 'beli', 'mobil', 'bekas']"
about_car,"carbot, apa saja yang perlu diperhatikan saat membeli mobil second?",carbot apa saja yang perlu diperhatikan saat membeli mobil second,carbot apa saja yang perlu diperhatikan saat membeli mobil second,"['carbot', 'apa', 'yang', 'perlu', 'perhati', 'beli', 'mobil', 'second']"
about_car,"carbot, butuh saran nih buat beli mobil bekas",carbot butuh saran nih buat beli mobil bekas,carbot butuh saran ini buat beli mobil bekas,"['carbot', 'butuh', 'saran', 'buat', 'beli', 'mobil', 'bekas']"
about_car,"halo carbot, gmn cara pilih mobil second yg bagus?",halo carbot gmn cara pilih mobil second yg bagus,halo carbot bagaimana cara pilih mobil second yang bagus,"['halo', 'carbot', 'bagaimana', 'cara', 'pilih', 'mobil', 'second', 'bagus']"
about_car,"carbot, kasi tau dong tips beli mobil bekas",carbot kasi tau dong tips beli mobil bekas,carbot kasi tahu dong tips beli mobil bekas,"['carbot', 'kasi', 'tahu', 'dong', 'tips', 'beli', 'mobil', 'bekas']"
about_car,"carbot, mau beli mobil bekas nih ada tips ga?",carbot mau beli mobil bekas nih ada tips ga,carbot mau beli mobil bekas ini ada tips tidak,"['carbot', 'mau', 'beli', 'mobil', 'bekas', 'ada', 'tips']"
about_car,"carbot, sharing dong cara pilih mobil second",carbot sharing dong cara pilih mobil second,carbot sharing dong cara pilih mobil second,"['carbot', 'sharing', 'dong', 'cara', 'pilih', 'mobil', 'second']"
about_car,"dengan carbot, mohon arahan untuk pembelian mobil bekas",dengan carbot mohon arahan untuk pembelian mobil bekas,dengan carbot mohon arahan untuk pembelian mobil bekas,"['carbot', 'mohon', 'arah', 'beli', 'mobil', 'bekas']"
about_car,"carbot, bagaimana prosedur yang tepat membeli mobil second?",carbot bagaimana prosedur yang tepat membeli mobil second,carbot bagaimana prosedur yang tepat membeli mobil second,"['carbot', 'bagaimana', 'prosedur', 'tepat', 'beli', 'mobil', 'second']"
about_car,carbot tolong jelaskan langkah-langkah membeli mobil bekas,carbot tolong jelaskan langkahlangkah membeli mobil bekas,carbot tolong jelaskan langkahlangkah membeli mobil bekas,"['carbot', 'jelas', 'langkahlangkah', 'beli', 'mobil', 'bekas']"
about_car,"dear carbot, mohon panduan lengkap membeli mobil second",dear carbot mohon panduan lengkap membeli mobil second,dear carbot mohon panduan lengkap membeli mobil second,"['dear', 'carbot', 'mohon', 'pandu', 'lengkap', 'beli', 'mobil', 'second']"
about_car,"kepada carbot, bisa jelaskan cara aman beli mobil bekas?",kepada carbot bisa jelaskan cara aman beli mobil bekas,kepada carbot bisa jelaskan cara aman beli mobil bekas,"['carbot', 'jelas', 'cara', 'aman', 'beli', 'mobil', 'bekas']"
about_car,berikan saran dengan carbot dong merk mobil apa yang bagus,berikan saran dengan carbot dong merk mobil apa yang bagus,berikan saran dengan carbot dong merk mobil apa yang bagus,"['ikan', 'saran', 'carbot', 'dong', 'merk', 'mobil', 'apa', 'bagus']"
about_car,saya ingin membeli mobil bekas apa rekomendasinya?,saya ingin membeli mobil bekas apa rekomendasinya,saya ingin membeli mobil bekas apa rekomendasinya,"['ingin', 'beli', 'mobil', 'bekas', 'apa', 'rekomendasi']"
about_car,kalau membeli mobil bekas berapa budget idealnya?,kalau membeli mobil bekas berapa budget idealnya,kalau membeli mobil bekas berapa budget idealnya,"['kalau', 'beli', 'mobil', 'bekas', 'berapa', 'budget', 'ideal']"
about_car,tolong kasih tips perawatan mobil bekas dong,tolong kasih tips perawatan mobil bekas dong,tolong kasih tips perawatan mobil bekas dong,"['kasih', 'tips', 'awat', 'mobil', 'bekas', 'dong']"
about_car,lokasi beli mobil bekas yang recommended dimana ya?,lokasi beli mobil bekas yang recommended dimana ya,lokasi beli mobil bekas yang rekomendasi dimana iya,"['lokasi', 'beli', 'mobil', 'bekas', 'rekomendasi', 'mana', 'iya']"
about_car,apakah sebaiknya beli mobil bekas cash atau kredit?,apakah sebaiknya beli mobil bekas cash atau kredit,apakah sebaiknya beli mobil bekas cash atau kredit,"['baik', 'beli', 'mobil', 'bekas', 'cash', 'kredit']"
about_car,bagaimana cara cek keaslian surat mobil bekas?,bagaimana cara cek keaslian surat mobil bekas,bagaimana cara cek keaslian surat mobil bekas,"['bagaimana', 'cara', 'cek', 'asli', 'surat', 'mobil', 'bekas']"
about_car,berapa kisaran harga mobil bekas tahun 2020?,berapa kisaran harga mobil bekas tahun 2020,berapa kisaran harga mobil bekas tahun 2020,"['berapa', 'kisar', 'harga', 'mobil', 'bekas', 'tahun', '2020']"
about_car,adakah rekomendasi mobil bekas di bawah 100 juta?,adakah rekomendasi mobil bekas di bawah 100 juta,adakah rekomendasi mobil bekas di bawah 100 juta,"['rekomendasi', 'mobil', 'bekas', 'bawah', '100', 'juta']"
about_car,tips nego harga mobil bekas yang efektif bagaimana?,tips nego harga mobil bekas yang efektif bagaimana,tips nego harga mobil bekas yang efektif bagaimana,"['tips', 'nego', 'harga', 'mobil', 'bekas', 'efektif', 'bagaimana']"
about_chatbot,siapa kamu?,siapa kamu,siapa kamu,"['siapa', 'kamu']"
about_chatbot,kamu siapa?,kamu siapa,kamu siapa,"['kamu', 'siapa']"
about_chatbot,apa namamu?,apa namamu,apa namamu,"['apa', 'nama']"
